Survived,Pclass,Sex,Age,Fare,Embarked,Title,IsAlone
0,3,male,22,7.25,S,Mr,0
1,1,female,38,71.2833,C,Mrs,0
1,3,female,26,7.925,S,Miss,1
1,1,female,35,53.1,S,Mrs,0
0,3,male,35,8.05,S,Mr,1
0,1,male,54,51.8625,S,Mr,1
0,3,male,2,21.075,S,Master,0
1,3,female,27,11.1333,S,Mrs,0
1,2,female,14,30.0708,C,Mrs,0
1,3,female,4,16.7,S,Miss,0
1,1,female,58,26.55,S,Miss,1
0,3,male,20,8.05,S,Mr,1
0,3,male,39,31.275,S,Mr,0
0,3,female,14,7.8542,S,Miss,1
1,2,female,55,16,S,Mrs,1
0,3,male,2,29.125,Q,Master,0
0,3,female,31,18,S,Mrs,0
0,2,male,35,26,S,Mr,1
1,2,male,34,13,S,Mr,1
1,3,female,15,8.0292,Q,Miss,1
1,1,male,28,35.5,S,Mr,1
0,3,female,8,21.075,S,Miss,0
1,3,female,38,31.3875,S,Mrs,0
0,1,male,19,263,S,Mr,0
1,3,female,60,7.8792,Q,Miss,1
